City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
454,Ambanja,MG,75.16,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
465,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
467,Santa Fe,AR,79.75,clear sky,-31.6333,-60.7,Conquistador Hotel
479,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Josilene Castro
481,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
482,Metro,ID,84.4,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
490,Flinders,AU,83.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
497,Acapulco,MX,77.61,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
498,Gizo,SB,80.46,moderate rain,-8.103,156.8419,Imagination Island
499,Bac Lieu,VN,83.59,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
501,Villamontes,BO,81.63,overcast clouds,-21.25,-63.5,Hotel Raldes
503,Kiama,AU,83.25,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
512,Trincomalee,LK,79.43,light rain,8.5711,81.2335,Welcombe Hotel
514,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
516,Vao,NC,77.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
518,Mont-Dore,NC,84.99,broken clouds,-22.2833,166.5833,GIte
521,Mackay,AU,89.58,scattered clouds,-21.15,149.2,International Lodge Motel
525,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
531,Guanica,PR,75.97,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
532,Namatanai,PG,84.65,light rain,-3.6667,152.4333,Seagulls Inn Namatani
537,Itarema,BR,78.24,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
542,Banjar,ID,85.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
545,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
550,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
553,Pangai,TO,80.71,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
556,Calamar,CO,78.75,overcast clouds,10.2511,-74.9146,Hostal Katyalex
564,Nicoya,CR,78.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
574,Letpadan,MM,77.56,clear sky,17.7833,95.75,Ko Arkar Lin
577,Butterworth,MY,86.04,few clouds,5.3991,100.3638,Cititel Penang
579,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
584,Bandarbeyla,SO,75.42,broken clouds,9.4942,50.8122,JABIR HOTEL
