City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
104,Kodiak,US,2022-01-10 02:34:58,57.79,-152.4072,27.91,64,100,18.41,overcast clouds
105,Tommot,RU,2022-01-10 02:34:58,58.9564,126.2925,-23.24,98,97,0.36,overcast clouds
106,Vila,PT,2022-01-10 02:34:59,42.0304,-8.1588,45.73,95,99,2.71,overcast clouds
107,Camacha,PT,2022-01-10 02:34:59,33.0833,-16.3333,60.22,82,40,10.36,scattered clouds
108,Pisco,PE,2022-01-10 02:34:59,-13.7,-76.2167,69.85,88,40,13.8,scattered clouds
109,San Vicente,AR,2022-01-10 02:35:00,-26.6167,-54.1333,62.26,60,0,1.92,clear sky
110,Shenkursk,RU,2022-01-10 02:35:00,62.1091,42.896,6.35,99,97,3.22,overcast clouds
111,Nikolayevsk-Na-Amure,RU,2022-01-10 02:35:01,53.1406,140.73,1.36,94,100,8.93,light snow
112,San Felipe,VE,2022-01-10 02:35:01,10.3399,-68.7425,70.65,90,70,4.9,broken clouds
113,Ranong,TH,2022-01-10 02:35:01,9.9658,98.6348,78.73,57,38,5.84,scattered clouds
114,Asau,RO,2022-01-10 02:35:02,46.4333,26.4,36.39,95,100,4.23,light snow
115,Belomorsk,RU,2022-01-10 02:35:02,64.5232,34.7668,-0.92,95,15,6.15,few clouds
116,Salta,AR,2022-01-10 02:35:03,-24.7859,-65.4117,77.29,74,75,4.0,broken clouds
117,Verkhoyansk,RU,2022-01-10 02:35:03,67.5447,133.385,-39.1,100,42,1.92,scattered clouds
118,Qui Nhon,VN,2022-01-10 02:35:04,13.7667,109.2333,76.84,78,38,7.83,scattered clouds
119,Chuy,UY,2022-01-10 02:31:27,-33.6971,-53.4616,68.2,81,0,10.29,clear sky
120,Lebu,CL,2022-01-10 02:35:04,-37.6167,-73.65,58.14,94,5,6.11,clear sky
121,Chokurdakh,RU,2022-01-10 02:35:05,70.6333,147.9167,-25.19,95,26,8.37,scattered clouds
122,Mazamari,PE,2022-01-10 02:35:05,-11.3258,-74.5308,67.73,94,47,1.77,scattered clouds
123,Saldanha,ZA,2022-01-10 02:35:06,-33.0117,17.9442,64.45,92,22,6.42,few clouds
124,Mahibadhoo,MV,2022-01-10 02:35:06,3.7833,72.9667,81.16,74,79,8.25,broken clouds
125,Mildura,AU,2022-01-10 02:35:07,-34.2,142.15,104.07,22,40,8.05,scattered clouds
126,Yellowknife,CA,2022-01-10 02:32:45,62.456,-114.3525,-26.59,88,40,2.3,scattered clouds
127,Port Alfred,ZA,2022-01-10 02:35:07,-33.5906,26.891,71.35,87,99,20.74,overcast clouds
128,Dikson,RU,2022-01-10 02:33:07,73.5069,80.5464,-11.54,100,98,4.36,overcast clouds
129,Lubango,AO,2022-01-10 02:35:08,-14.9172,13.4925,62.11,62,92,2.08,overcast clouds
130,New Norfolk,AU,2022-01-10 02:35:08,-42.7826,147.0587,76.75,59,96,1.01,overcast clouds
131,Xining,CN,2022-01-10 02:35:08,36.6167,101.7667,21.54,58,26,0.94,scattered clouds
132,Vangaindrano,MG,2022-01-10 02:35:09,-23.35,47.6,73.58,90,74,4.72,light rain
133,Yerbogachen,RU,2022-01-10 02:35:09,61.2767,108.0108,-6.59,78,100,9.8,overcast clouds
134,Cape Town,ZA,2022-01-10 02:32:42,-33.9258,18.4232,67.26,82,63,1.01,broken clouds
135,Emba,KZ,2022-01-10 02:35:10,48.8264,58.1442,1.56,83,14,9.62,few clouds
136,Sakaiminato,JP,2022-01-10 02:35:10,35.55,133.2333,49.98,71,40,9.22,scattered clouds
137,Kenai,US,2022-01-10 02:35:10,60.5544,-151.2583,14.09,57,100,14.97,overcast clouds
138,Kota Bahru,MY,2022-01-10 02:36:11,6.1333,102.2386,80.6,83,20,2.3,few clouds
139,Am Timan,TD,2022-01-10 02:36:11,11.0297,20.2827,74.05,20,7,9.19,clear sky
140,Rognan,NO,2022-01-10 02:36:12,67.0953,15.3878,21.34,74,3,7.85,clear sky
141,Taywarah,AF,2022-01-10 02:36:12,33.35,64.4167,14.36,37,0,2.82,clear sky
142,Vila Velha,BR,2022-01-10 02:36:12,-20.3297,-40.2925,73.94,97,100,2.3,overcast clouds
143,Mareeba,AU,2022-01-10 02:36:13,-17.0,145.4333,81.32,95,100,6.17,light rain
144,Champerico,GT,2022-01-10 02:36:13,14.3,-91.9167,81.36,73,34,6.06,scattered clouds
145,Nanortalik,GL,2022-01-10 02:36:14,60.1432,-45.2371,18.61,78,94,31.9,overcast clouds
146,La Asuncion,VE,2022-01-10 02:36:14,11.0333,-63.8628,65.93,100,95,11.5,overcast clouds
147,Touros,BR,2022-01-10 02:33:39,-5.1989,-35.4608,77.9,77,99,10.51,overcast clouds
148,Vardo,NO,2022-01-10 02:36:15,70.3705,31.1107,29.91,77,99,28.5,overcast clouds
149,Ust-Uda,RU,2022-01-10 02:36:15,54.1742,103.0304,-2.54,84,100,1.59,overcast clouds
150,Lulea,SE,2022-01-10 02:36:15,65.5842,22.1547,-5.73,84,100,1.14,overcast clouds
151,Pokhara,NP,2022-01-10 02:36:16,28.2333,83.9833,60.78,42,6,0.94,clear sky
152,Guerrero Negro,MX,2022-01-10 02:36:16,27.9769,-114.0611,63.9,57,100,8.08,overcast clouds
153,Hovd,MN,2022-01-10 02:36:16,48.0056,91.6419,5.58,76,89,0.6,overcast clouds
154,Puerto Escondido,MX,2022-01-10 02:36:17,15.85,-97.0667,79.63,73,40,0.0,scattered clouds
