City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Paamiut,GL,2022-01-09 03:36:10,61.994,-49.6678,5.41,83,100,12.15
129,Port Elizabeth,ZA,2022-01-09 03:36:11,-33.918,25.5701,70.11,94,0,12.66
130,Pisco,PE,2022-01-09 03:36:12,-13.7,-76.2167,71.65,88,37,14.97
131,Tyukhtet,RU,2022-01-09 03:36:13,56.5389,89.3011,29.28,85,100,11.72
132,Sabha,LY,2022-01-09 03:36:13,27.0377,14.4283,39.7,64,0,9.57
133,Vestmanna,FO,2022-01-09 03:36:14,62.1564,-7.1664,34.72,93,55,2.3
134,Jalu,LY,2022-01-09 03:36:15,29.0331,21.5482,50.2,56,1,15.43
135,Ouadda,CF,2022-01-09 03:36:16,8.0777,22.4007,68.65,37,52,2.48
136,Marang,MY,2022-01-09 03:36:16,5.2056,103.2059,82.31,73,43,7.38
137,Avarua,CK,2022-01-09 03:36:17,-21.2078,-159.775,80.65,89,75,2.3
138,Arraial Do Cabo,BR,2022-01-09 03:36:18,-22.9661,-42.0278,73.02,84,100,5.64
139,San Patricio,US,2022-01-09 03:36:19,28.017,-97.5169,66.29,89,78,2.06
140,Sinnamary,GF,2022-01-09 03:37:20,5.3833,-52.95,74.8,87,63,8.05
141,Victoria,HK,2022-01-09 03:36:56,22.2855,114.1577,68.97,79,68,1.01
142,Luanda,AO,2022-01-09 03:34:29,-8.8368,13.2343,76.08,87,100,4.5
143,Rach Gia,VN,2022-01-09 03:37:23,10.0167,105.0833,84.15,64,87,2.21
144,Makakilo City,US,2022-01-09 03:37:24,21.3469,-158.0858,75.52,73,0,9.22
145,Saldanha,ZA,2022-01-09 03:37:26,-33.0117,17.9442,64.45,96,0,10.8
146,Isangel,VU,2022-01-09 03:37:26,-19.55,169.2667,86.11,84,75,9.22
147,Chiredzi,ZW,2022-01-09 03:37:27,-21.05,31.6667,68.34,84,99,4.63
148,Port Alfred,ZA,2022-01-09 03:37:28,-33.5906,26.891,72.88,90,50,21.34
149,Kaitangata,NZ,2022-01-09 03:37:28,-46.2817,169.8464,66.92,79,100,4.65
150,Nang Rong,TH,2022-01-09 03:37:28,14.6377,102.7914,78.33,43,48,8.23
151,Severo-Kurilsk,RU,2022-01-09 03:37:29,50.6789,156.125,31.39,90,100,21.27
152,Inyonga,TZ,2022-01-09 03:37:29,-6.7167,32.0667,64.62,93,100,1.81
153,Lesnyye Polyany,RU,2022-01-09 03:37:30,55.9667,37.8667,23.23,86,100,10.33
154,Lakes Entrance,AU,2022-01-09 03:37:30,-37.8811,147.981,80.58,76,17,12.19
155,Santarem,BR,2022-01-09 03:37:30,-2.4431,-54.7083,73.53,100,100,2.3
156,Grand Gaube,MU,2022-01-09 03:37:31,-20.0064,57.6608,80.38,85,0,5.01
157,Port Augusta,AU,2022-01-09 03:37:31,-32.5,137.7667,94.71,18,0,7.27
158,Sabzevar,IR,2022-01-09 03:37:32,36.2126,57.6819,33.08,80,0,11.5
159,Tymovskoye,RU,2022-01-09 03:37:33,50.8456,142.655,9.64,86,95,5.99
160,Aden,YE,2022-01-09 03:37:34,12.7794,45.0367,76.44,70,97,17.11
161,Stephenville,US,2022-01-09 03:37:34,32.2207,-98.2023,60.13,94,100,9.22
162,Sao Joao Da Barra,BR,2022-01-09 03:37:35,-21.6403,-41.0511,71.91,95,100,8.97
163,Port Lincoln,AU,2022-01-09 03:37:35,-34.7333,135.8667,72.48,65,3,12.03
164,Xinzhou,CN,2022-01-09 03:37:35,38.4092,112.7333,34.18,51,15,0.11
165,Bardiyah,LY,2022-01-09 03:37:36,31.7561,25.0865,53.19,78,24,22.12
166,Yellowknife,CA,2022-01-09 03:37:36,62.456,-114.3525,-20.58,77,20,9.22
167,Cherskiy,RU,2022-01-09 03:37:37,68.75,161.3,-24.32,100,29,2.71
168,San Cristobal,VE,2022-01-09 03:34:05,7.7669,-72.225,69.98,90,96,2.66
169,Meadow Lake,US,2022-01-09 03:37:37,34.8014,-106.5436,48.11,52,48,5.91
170,San Juan,AR,2022-01-09 03:37:38,-31.5375,-68.5364,86.72,26,11,21.0
171,Longyearbyen,SJ,2022-01-09 03:37:38,78.2186,15.6401,10.24,85,75,2.3
172,Kashi,CN,2022-01-09 03:37:39,39.4547,75.9797,26.22,58,20,6.71
173,Komsomolskiy,UZ,2022-01-09 03:34:51,40.4272,71.7189,38.62,81,40,0.0
174,Wuhu,CN,2022-01-09 03:37:40,31.3366,118.3755,42.71,76,98,0.81
175,Tuktoyaktuk,CA,2022-01-09 03:37:40,69.4541,-133.0374,-20.2,76,20,16.11
176,Sola,VU,2022-01-09 03:37:41,-13.8833,167.55,88.47,55,40,4.61
177,Domoni,KM,2022-01-09 03:37:42,-12.2569,44.5319,81.52,82,100,6.58
178,Coquimbo,CL,2022-01-09 03:37:42,-29.9533,-71.3436,60.53,88,0,4.61
179,Ambon,ID,2022-01-09 03:37:43,-3.6954,128.1814,87.94,66,40,4.61
180,Russell,US,2022-01-09 03:36:25,32.3502,-85.1999,49.96,78,0,3.44
181,Kaeo,NZ,2022-01-09 03:32:44,-35.1,173.7833,72.03,66,87,4.32
182,Sahuaripa,MX,2022-01-09 03:37:44,29.05,-109.2333,61.47,49,96,4.83
183,Narsaq,GL,2022-01-09 03:37:44,60.9167,-46.05,12.42,66,100,1.07
184,Peniche,PT,2022-01-09 03:38:44,39.3558,-9.3811,55.11,76,14,11.18
185,Ilulissat,GL,2022-01-09 03:38:45,69.2167,-51.1,12.22,62,100,4.61
186,Yilan,TW,2022-01-09 03:38:45,24.757,121.753,67.86,86,98,3.65
187,Coihaique,CL,2022-01-09 03:38:46,-45.5752,-72.0662,58.95,58,0,5.75
188,Alofi,NU,2022-01-09 03:38:46,-19.0595,-169.9187,84.09,70,100,9.22
189,Lorengau,PG,2022-01-09 03:38:46,-2.0226,147.2712,82.17,76,97,6.33
190,East London,ZA,2022-01-09 03:34:11,-33.0153,27.9116,70.74,100,100,10.36
191,Yakeshi,CN,2022-01-09 03:38:47,49.2833,120.7333,-2.45,93,100,3.89
192,Deputatskiy,RU,2022-01-09 03:38:47,69.3,139.9,-26.97,95,18,6.6
193,Antigonish,CA,2022-01-09 03:34:35,45.6169,-61.9986,26.92,88,19,5.99
194,Rasht,IR,2022-01-09 03:38:48,37.2808,49.5832,48.02,100,100,0.0
195,Meulaboh,ID,2022-01-09 03:38:49,4.1363,96.1285,79.61,77,100,3.71
196,Porbandar,IN,2022-01-09 03:38:49,21.6422,69.6093,57.18,88,40,3.44
197,Wajir,KE,2022-01-09 03:38:49,1.7471,40.0573,76.96,69,0,0.0
198,Asau,RO,2022-01-09 03:38:50,46.4333,26.4,36.75,99,100,3.62
199,Sitia,GR,2022-01-09 03:38:50,35.2,26.0986,59.99,75,59,12.68
200,Slave Lake,CA,2022-01-09 03:38:51,55.2834,-114.769,-20.22,76,75,5.75
201,Yumen,CN,2022-01-09 03:35:22,40.2833,97.2,26.53,42,100,18.81
202,Kungurtug,RU,2022-01-09 03:38:51,50.5994,97.5228,2.61,92,51,0.89
203,Nemuro,JP,2022-01-09 03:38:51,43.3236,145.575,32.43,74,95,17.81
204,Kendari,ID,2022-01-09 03:38:52,-3.945,122.4989,87.87,60,45,5.73
205,Hofn,IS,2022-01-09 03:38:52,64.2539,-15.2082,36.66,94,100,20.29
206,Kostroma,RU,2022-01-09 03:38:53,57.7708,40.9344,20.91,93,100,9.75
207,Erzin,TR,2022-01-09 03:38:53,36.9559,36.2,52.32,71,67,9.48
208,Port Hardy,CA,2022-01-09 03:38:54,50.6996,-127.4199,41.0,81,75,14.97
209,Dikson,RU,2022-01-09 03:38:54,73.5069,80.5464,-2.13,95,100,11.5
210,Gainesville,US,2022-01-09 03:37:52,29.6516,-82.3248,62.67,86,0,0.0
211,Nanortalik,GL,2022-01-09 03:38:55,60.1432,-45.2371,14.58,76,100,16.11
212,Platteville,US,2022-01-09 03:38:56,42.7342,-90.4785,27.16,97,100,7.99
213,Petropavlovsk-Kamchatskiy,RU,2022-01-09 03:38:56,53.0452,158.6483,33.78,69,75,2.24
214,Coruripe,BR,2022-01-09 03:38:57,-10.1256,-36.1756,77.09,79,99,10.29
215,Belton,US,2022-01-09 03:34:54,38.812,-94.5319,44.83,95,100,1.99
216,Carauari,BR,2022-01-09 03:36:48,-4.8828,-66.8958,71.55,97,100,2.1
217,Shenxian,CN,2022-01-09 03:38:57,36.2411,115.6672,44.65,59,71,3.47
218,Nisia Floresta,BR,2022-01-09 03:38:58,-6.0911,-35.2086,77.38,82,61,4.23
219,Nuevo Laredo,MX,2022-01-09 03:38:58,27.4763,-99.5164,57.83,94,0,4.61
220,Bowen,AU,2022-01-09 03:38:58,-20.0167,148.2333,88.02,66,26,10.2
221,Steamboat Springs,US,2022-01-09 03:36:52,40.485,-106.8317,24.3,85,100,0.0
222,Manadhoo,MV,2022-01-09 03:38:59,5.7667,73.3833,81.14,73,14,8.52
223,Tura,IN,2022-01-09 03:38:59,25.5198,90.2201,73.13,42,0,2.68
224,Carandai,BR,2022-01-09 03:37:32,-20.9536,-43.8064,61.03,99,100,4.88
225,Pervomaysk,UA,2022-01-09 03:39:00,48.0443,30.8507,30.65,91,100,10.4
226,Daura,NG,2022-01-09 03:39:00,11.5538,11.4085,66.69,24,60,8.66
227,Obidos,BR,2022-01-09 03:39:01,-1.9175,-55.5181,73.83,89,100,1.41
228,Takoradi,GH,2022-01-09 03:39:01,4.8845,-1.7554,78.94,84,9,4.09
229,Sal Rei,CV,2022-01-09 03:39:02,16.1833,-22.9167,70.36,68,88,14.79
230,Dajal,PK,2022-01-09 03:39:03,29.5577,70.3762,55.65,66,32,2.13
231,Klaksvik,FO,2022-01-09 03:40:04,62.2266,-6.589,36.52,85,68,11.9
232,Clyde River,CA,2022-01-09 03:40:04,70.4692,-68.5914,-10.97,77,100,17.27
233,Wyndham,US,2022-01-09 03:40:04,37.6985,-77.6125,30.94,67,0,1.01
234,Birao,CF,2022-01-09 03:40:05,10.2849,22.7882,69.3,27,8,6.33
235,Misratah,LY,2022-01-09 03:40:05,32.3754,15.0925,55.92,65,72,28.7
236,Turukhansk,RU,2022-01-09 03:40:06,65.8167,87.9833,20.14,94,100,18.54
237,Codrington,AU,2022-01-09 03:40:06,-38.2667,141.9667,65.75,61,2,11.45
238,Hovd,MN,2022-01-09 03:40:07,48.0056,91.6419,9.57,85,48,0.65
239,Pangkalanbuun,ID,2022-01-09 03:40:07,-2.6833,111.6167,88.5,62,61,4.09
240,Saint-Joseph,RE,2022-01-09 03:40:08,-21.3667,55.6167,78.21,79,12,2.37
241,Sarangani,PH,2022-01-09 03:40:08,5.4033,125.4636,82.09,72,93,3.89
242,Sur,OM,2022-01-09 03:40:09,22.5667,59.5289,68.25,48,0,2.24
243,Sumbe,AO,2022-01-09 03:40:10,-11.2061,13.8437,75.56,89,99,6.8
244,Padang,ID,2022-01-09 03:40:10,-0.9492,100.3543,84.25,90,100,7.16
245,El Vigia,VE,2022-01-09 03:40:11,8.6219,-71.6506,73.89,79,55,3.58
246,Rock Sound,BS,2022-01-09 03:40:11,24.9,-76.2,76.19,75,75,27.22
247,North Bend,US,2022-01-09 03:40:11,43.4065,-124.2243,42.93,97,0,6.91
248,Cabo San Lucas,MX,2022-01-09 03:38:41,22.8909,-109.9124,71.06,81,0,3.44
249,Mori,JP,2022-01-09 03:40:12,34.8333,137.9333,58.05,48,47,11.77
250,Carutapera,BR,2022-01-09 03:40:13,-1.195,-46.02,75.4,89,100,3.27
251,Karacakoy,TR,2022-01-09 03:40:13,41.4029,28.3834,48.24,93,94,3.96
